Ticket_ID,Date,Equipment_Type,Location,Downtime_Hours,Failure_Type
20487,2024-12-20,Transformer,Plant A,18,Electrical Fault
20488,2024-11-28,Transformer,Plant A,5,Mechanical Failure
20489,2024-03-10,Panel,Plant A,14,Electrical Fault
20490,2024-10-25,Transformer,Plant C,8,Short Circuit
20491,2024-03-10,Motor,Plant B,6,Short Circuit
20492,2024-07-26,Compressor,Plant A,9,Short Circuit
20493,2024-07-18,Compressor,Plant A,6,Mechanical Failure
20494,2024-02-28,Panel,Plant C,21,Overheating
20495,2024-09-15,Generator,Plant C,17,Electrical Fault
20496,2024-12-06,Generator,Plant B,8,Electrical Fault
20497,2024-12-16,Panel,Plant B,3,Mechanical Failure
20498,2024-11-29,Panel,Plant A,12,Short Circuit
20499,2024-12-22,Transformer,Plant C,13,Electrical Fault
20500,2024-12-04,Generator,Plant B,18,Overheating
20501,2024-06-13,Compressor,Plant B,23,Electrical Fault
20502,2024-09-01,Panel,Plant B,11,Short Circuit
20503,2024-03-24,Compressor,Plant C,2,Electrical Fault
20504,2024-11-04,Compressor,Plant C,14,Short Circuit
20505,2024-04-23,Generator,Plant C,1,Overheating
20506,2024-08-21,Compressor,Plant C,15,Mechanical Failure
20507,2024-09-18,Transformer,Plant C,18,Short Circuit
20508,2024-06-20,Transformer,Plant A,22,Short Circuit
20509,2024-01-18,Generator,Plant A,18,Electrical Fault
20510,2024-08-22,Transformer,Plant C,17,Mechanical Failure
20511,2024-11-05,Panel,Plant A,1,Short Circuit
20512,2024-06-05,Generator,Plant C,14,Electrical Fault
20513,2024-07-29,Compressor,Plant A,20,Overheating
20514,2024-10-07,Panel,Plant A,22,Mechanical Failure
20515,2024-11-14,Generator,Plant B,16,Electrical Fault
20516,2024-07-14,Compressor,Plant C,4,Mechanical Failure
20517,2024-04-24,Compressor,Plant A,22,Short Circuit
20518,2024-06-08,Compressor,Plant A,6,Electrical Fault
20519,2024-06-03,Compressor,Plant B,16,Overheating
20520,2024-02-20,Compressor,Plant A,20,Overheating
20521,2024-10-10,Generator,Plant B,6,Electrical Fault
20522,2024-03-13,Transformer,Plant A,15,Electrical Fault
20523,2024-11-23,Compressor,Plant B,1,Mechanical Failure
20524,2024-12-06,Panel,Plant B,7,Electrical Fault
20525,2024-04-19,Generator,Plant C,23,Mechanical Failure
20526,2024-10-12,Motor,Plant C,11,Short Circuit
20527,2024-08-08,Transformer,Plant A,1,Electrical Fault
20528,2024-01-09,Panel,Plant C,8,Short Circuit
20529,2024-03-22,Compressor,Plant C,14,Overheating
20530,2024-11-15,Generator,Plant C,5,Mechanical Failure
20531,2024-10-20,Generator,Plant A,13,Mechanical Failure
20532,2024-01-22,Compressor,Plant A,15,Overheating
20533,2024-04-08,Panel,Plant C,9,Short Circuit
20534,2024-06-18,Generator,Plant C,8,Mechanical Failure
20535,2024-07-08,Transformer,Plant A,19,Overheating
20536,2024-04-15,Panel,Plant C,17,Overheating
20537,2024-11-15,Compressor,Plant B,19,Overheating
20538,2024-09-21,Panel,Plant A,18,Electrical Fault
20539,2024-12-16,Panel,Plant A,18,Short Circuit
20540,2024-06-16,Motor,Plant B,4,Overheating
20541,2024-12-09,Compressor,Plant C,2,Short Circuit
20542,2024-04-22,Transformer,Plant B,5,Mechanical Failure
20543,2024-11-23,Compressor,Plant C,17,Electrical Fault
20544,2024-11-01,Motor,Plant C,22,Overheating
20545,2024-05-27,Compressor,Plant A,7,Overheating
20546,2024-12-02,Compressor,Plant A,16,Overheating
20547,2024-08-07,Transformer,Plant C,1,Mechanical Failure
20548,2024-02-02,Motor,Plant B,12,Electrical Fault
20549,2024-08-07,Compressor,Plant A,19,Short Circuit
20550,2024-11-14,Compressor,Plant C,9,Short Circuit
20551,2024-07-03,Generator,Plant A,16,Short Circuit
20552,2024-07-11,Compressor,Plant A,7,Short Circuit
20553,2024-12-26,Transformer,Plant A,15,Short Circuit
20554,2024-06-28,Generator,Plant B,12,Short Circuit
20555,2024-12-20,Motor,Plant B,4,Short Circuit
20556,2024-01-06,Panel,Plant C,6,Electrical Fault
20557,2024-01-09,Transformer,Plant B,6,Electrical Fault
20558,2024-12-22,Motor,Plant C,15,Mechanical Failure
20559,2024-03-01,Generator,Plant C,3,Overheating
20560,2024-06-11,Panel,Plant A,2,Electrical Fault
20561,2024-04-08,Motor,Plant A,5,Overheating
20562,2024-05-27,Transformer,Plant B,8,Mechanical Failure
20563,2024-02-27,Generator,Plant C,19,Electrical Fault
20564,2024-08-02,Transformer,Plant C,21,Mechanical Failure
20565,2024-11-11,Transformer,Plant A,16,Electrical Fault
20566,2024-06-30,Generator,Plant A,19,Electrical Fault
20567,2024-02-04,Compressor,Plant A,23,Short Circuit
20568,2024-10-29,Transformer,Plant B,16,Overheating
20569,2024-02-15,Generator,Plant C,6,Mechanical Failure
20570,2024-03-27,Transformer,Plant C,22,Short Circuit
20571,2024-01-04,Compressor,Plant C,1,Electrical Fault
20572,2024-09-22,Generator,Plant A,18,Electrical Fault
20573,2024-04-16,Motor,Plant B,22,Mechanical Failure
20574,2024-03-15,Motor,Plant B,8,Overheating
20575,2024-02-09,Motor,Plant A,5,Mechanical Failure
20576,2024-05-06,Panel,Plant B,12,Electrical Fault
20577,2024-07-01,Transformer,Plant B,18,Short Circuit
20578,2024-04-28,Transformer,Plant C,5,Mechanical Failure
20579,2024-03-13,Generator,Plant A,22,Short Circuit
20580,2024-02-09,Panel,Plant A,13,Overheating
20581,2024-07-22,Transformer,Plant A,21,Overheating
20582,2024-04-05,Generator,Plant A,22,Short Circuit
20583,2024-10-05,Compressor,Plant C,12,Overheating
20584,2024-05-22,Transformer,Plant B,16,Short Circuit
20585,2024-04-24,Transformer,Plant B,14,Short Circuit
20586,2024-05-12,Compressor,Plant C,11,Short Circuit
20587,2024-06-16,Compressor,Plant B,9,Overheating
20588,2024-09-01,Transformer,Plant A,23,Short Circuit
20589,2024-10-03,Compressor,Plant C,10,Overheating
20590,2024-09-15,Generator,Plant C,16,Short Circuit
20591,2024-02-15,Transformer,Plant A,19,Short Circuit
20592,2024-12-11,Transformer,Plant A,10,Overheating
20593,2024-11-30,Motor,Plant A,21,Short Circuit
20594,2024-08-24,Transformer,Plant B,4,Short Circuit
20595,2024-02-22,Motor,Plant A,21,Overheating
20596,2024-05-27,Compressor,Plant C,8,Electrical Fault
20597,2024-07-05,Compressor,Plant B,11,Mechanical Failure
20598,2024-01-21,Generator,Plant B,6,Overheating
20599,2024-03-30,Motor,Plant C,4,Short Circuit
20600,2024-08-20,Transformer,Plant B,21,Mechanical Failure
20601,2024-08-02,Motor,Plant A,23,Mechanical Failure
20602,2024-02-20,Compressor,Plant A,5,Short Circuit
20603,2024-06-01,Compressor,Plant A,18,Short Circuit
20604,2024-11-19,Generator,Plant A,22,Electrical Fault
20605,2024-04-25,Compressor,Plant B,3,Short Circuit
20606,2024-08-01,Motor,Plant C,7,Mechanical Failure
20607,2024-12-04,Transformer,Plant B,22,Short Circuit
20608,2024-12-16,Transformer,Plant C,12,Mechanical Failure
20609,2024-05-16,Motor,Plant C,3,Overheating
20610,2024-10-11,Generator,Plant A,17,Overheating
20611,2024-12-31,Transformer,Plant B,3,Mechanical Failure
20612,2024-03-11,Motor,Plant A,11,Overheating
20613,2024-09-01,Motor,Plant B,6,Electrical Fault
20614,2024-02-07,Compressor,Plant B,11,Mechanical Failure
20615,2024-08-03,Compressor,Plant A,4,Mechanical Failure
20616,2024-05-06,Generator,Plant B,17,Short Circuit
20617,2024-03-12,Generator,Plant A,22,Electrical Fault
20618,2024-08-13,Generator,Plant C,1,Short Circuit
20619,2024-11-10,Motor,Plant A,12,Electrical Fault
20620,2024-10-10,Motor,Plant B,3,Electrical Fault
20621,2024-10-28,Compressor,Plant B,16,Electrical Fault
20622,2024-09-02,Transformer,Plant C,3,Mechanical Failure
20623,2024-03-11,Generator,Plant C,14,Overheating
20624,2024-07-13,Panel,Plant C,17,Overheating
20625,2024-02-07,Generator,Plant A,19,Short Circuit
20626,2024-04-26,Compressor,Plant A,7,Short Circuit
20627,2024-08-25,Motor,Plant B,11,Overheating
20628,2024-12-29,Compressor,Plant C,16,Overheating
20629,2024-07-22,Compressor,Plant C,19,Electrical Fault
20630,2024-12-16,Compressor,Plant A,5,Short Circuit
20631,2024-11-14,Panel,Plant B,1,Short Circuit
20632,2024-12-24,Panel,Plant C,10,Short Circuit
20633,2024-01-05,Generator,Plant A,18,Short Circuit
20634,2024-06-05,Motor,Plant A,10,Overheating
20635,2024-04-16,Compressor,Plant C,1,Overheating
20636,2024-08-15,Transformer,Plant C,13,Mechanical Failure
20637,2024-05-21,Generator,Plant B,4,Mechanical Failure
20638,2024-11-09,Generator,Plant C,12,Overheating
20639,2024-06-20,Compressor,Plant A,16,Electrical Fault
20640,2024-05-25,Generator,Plant C,19,Overheating
20641,2024-01-07,Compressor,Plant C,12,Electrical Fault
20642,2024-12-08,Generator,Plant B,6,Short Circuit
20643,2024-12-18,Motor,Plant A,16,Mechanical Failure
20644,2024-10-27,Generator,Plant C,12,Electrical Fault
20645,2024-01-16,Generator,Plant A,10,Short Circuit
20646,2024-11-15,Transformer,Plant B,5,Overheating
20647,2024-02-06,Motor,Plant A,19,Mechanical Failure
20648,2024-06-01,Motor,Plant C,12,Overheating
20649,2024-09-21,Motor,Plant C,8,Short Circuit
20650,2024-07-01,Generator,Plant B,4,Short Circuit
20651,2024-06-04,Panel,Plant B,7,Overheating
20652,2024-05-16,Generator,Plant B,23,Short Circuit
20653,2024-03-30,Compressor,Plant A,5,Short Circuit
20654,2024-08-05,Transformer,Plant A,11,Electrical Fault
20655,2024-11-25,Motor,Plant A,17,Overheating
20656,2024-07-04,Compressor,Plant A,21,Overheating
20657,2024-07-27,Compressor,Plant B,3,Mechanical Failure
20658,2024-02-20,Panel,Plant A,2,Electrical Fault
20659,2024-10-14,Motor,Plant A,19,Electrical Fault
20660,2024-03-28,Generator,Plant A,2,Short Circuit
20661,2024-05-15,Motor,Plant A,14,Mechanical Failure
20662,2024-06-06,Transformer,Plant B,1,Mechanical Failure
20663,2024-10-08,Motor,Plant B,16,Electrical Fault
20664,2024-06-03,Compressor,Plant C,15,Mechanical Failure
20665,2024-08-07,Compressor,Plant C,18,Electrical Fault
20666,2024-06-15,Generator,Plant A,2,Mechanical Failure
20667,2024-11-17,Generator,Plant A,11,Electrical Fault
20668,2024-06-27,Generator,Plant B,21,Electrical Fault
20669,2024-11-24,Transformer,Plant C,17,Short Circuit
20670,2024-02-19,Motor,Plant A,13,Short Circuit
20671,2024-10-27,Panel,Plant C,12,Mechanical Failure
20672,2024-03-27,Motor,Plant C,2,Short Circuit
20673,2024-02-02,Generator,Plant C,22,Overheating
20674,2024-10-01,Transformer,Plant B,21,Overheating
20675,2024-05-20,Motor,Plant A,18,Mechanical Failure
20676,2024-07-24,Compressor,Plant A,10,Electrical Fault
20677,2024-08-11,Motor,Plant B,12,Short Circuit
20678,2024-04-22,Compressor,Plant B,17,Mechanical Failure
20679,2024-10-04,Motor,Plant B,22,Overheating
20680,2024-12-18,Motor,Plant C,14,Electrical Fault
20681,2024-01-05,Motor,Plant C,22,Short Circuit
20682,2024-07-30,Generator,Plant A,19,Electrical Fault
20683,2024-09-12,Compressor,Plant A,13,Electrical Fault
20684,2024-11-29,Transformer,Plant C,3,Short Circuit
20685,2024-01-30,Panel,Plant C,8,Short Circuit
20686,2024-12-12,Compressor,Plant B,5,Overheating
20687,2024-03-22,Generator,Plant C,22,Overheating
20688,2024-08-23,Compressor,Plant A,12,Electrical Fault
20689,2024-12-09,Transformer,Plant A,1,Electrical Fault
20690,2024-12-26,Compressor,Plant B,21,Overheating
20691,2024-11-18,Generator,Plant B,16,Overheating
20692,2024-09-09,Generator,Plant A,12,Electrical Fault
20693,2024-04-27,Panel,Plant C,23,Mechanical Failure
20694,2024-01-30,Transformer,Plant C,17,Mechanical Failure
20695,2024-04-20,Panel,Plant A,9,Mechanical Failure
20696,2024-09-10,Motor,Plant C,13,Short Circuit
20697,2024-07-17,Generator,Plant C,23,Overheating
20698,2024-10-21,Panel,Plant A,4,Mechanical Failure
20699,2024-12-07,Generator,Plant A,4,Mechanical Failure
20700,2024-10-23,Generator,Plant B,15,Overheating
20701,2024-10-13,Motor,Plant A,10,Short Circuit
20702,2024-08-31,Generator,Plant B,23,Mechanical Failure
20703,2024-08-08,Panel,Plant B,6,Short Circuit
20704,2024-06-04,Transformer,Plant C,3,Short Circuit
20705,2024-08-23,Compressor,Plant A,15,Electrical Fault
20706,2024-11-15,Panel,Plant C,6,Overheating
20707,2024-01-19,Motor,Plant A,11,Electrical Fault
20708,2024-08-02,Compressor,Plant A,2,Mechanical Failure
20709,2024-04-23,Generator,Plant C,2,Electrical Fault
20710,2024-07-18,Panel,Plant B,1,Overheating
20711,2024-01-25,Compressor,Plant A,11,Short Circuit
20712,2024-04-30,Panel,Plant B,5,Short Circuit
20713,2024-08-17,Generator,Plant C,6,Mechanical Failure
20714,2024-04-08,Panel,Plant C,3,Overheating
20715,2024-12-11,Motor,Plant A,20,Short Circuit
20716,2024-01-03,Compressor,Plant C,5,Mechanical Failure
20717,2024-09-17,Compressor,Plant A,20,Overheating
20718,2024-09-10,Compressor,Plant A,9,Overheating
20719,2024-01-20,Panel,Plant A,19,Electrical Fault
20720,2024-07-22,Generator,Plant A,5,Short Circuit
20721,2024-10-20,Panel,Plant A,23,Overheating
20722,2024-12-22,Panel,Plant C,12,Short Circuit
20723,2024-05-07,Compressor,Plant A,12,Short Circuit
20724,2024-12-23,Generator,Plant B,16,Overheating
20725,2024-10-18,Transformer,Plant A,7,Short Circuit
20726,2024-06-22,Generator,Plant A,14,Electrical Fault
20727,2024-08-08,Panel,Plant A,22,Mechanical Failure
20728,2024-12-20,Motor,Plant C,9,Mechanical Failure
20729,2024-02-06,Generator,Plant B,15,Overheating
20730,2024-11-05,Compressor,Plant B,23,Electrical Fault
20731,2024-05-28,Motor,Plant B,11,Mechanical Failure
20732,2024-04-01,Transformer,Plant C,4,Electrical Fault
20733,2024-03-10,Transformer,Plant C,11,Overheating
20734,2024-03-24,Motor,Plant A,9,Electrical Fault
20735,2024-07-23,Transformer,Plant C,6,Overheating
20736,2024-09-23,Motor,Plant B,17,Mechanical Failure
20737,2024-03-28,Panel,Plant B,9,Mechanical Failure
20738,2024-09-08,Motor,Plant C,23,Mechanical Failure
20739,2024-07-29,Panel,Plant C,6,Mechanical Failure
20740,2024-12-08,Compressor,Plant B,6,Short Circuit
20741,2024-01-31,Compressor,Plant B,4,Electrical Fault
20742,2024-12-22,Transformer,Plant B,20,Electrical Fault
20743,2024-11-11,Motor,Plant B,11,Electrical Fault
20744,2024-03-01,Panel,Plant B,3,Overheating
20745,2024-03-07,Compressor,Plant C,18,Mechanical Failure
20746,2024-08-13,Compressor,Plant C,16,Mechanical Failure
20747,2024-11-30,Compressor,Plant A,21,Short Circuit
20748,2024-11-22,Transformer,Plant A,16,Short Circuit
20749,2024-03-07,Compressor,Plant A,12,Mechanical Failure
20750,2024-05-07,Generator,Plant C,14,Electrical Fault
20751,2024-04-20,Transformer,Plant A,9,Electrical Fault
20752,2024-09-28,Motor,Plant A,7,Mechanical Failure
20753,2024-10-27,Generator,Plant C,14,Overheating
20754,2024-02-03,Transformer,Plant B,20,Electrical Fault
20755,2024-07-30,Transformer,Plant C,20,Mechanical Failure
20756,2024-10-26,Panel,Plant C,10,Mechanical Failure
20757,2024-05-04,Generator,Plant B,11,Short Circuit
20758,2024-04-12,Generator,Plant A,7,Short Circuit
20759,2024-07-24,Generator,Plant C,19,Mechanical Failure
20760,2024-04-29,Compressor,Plant C,19,Overheating
20761,2024-06-18,Compressor,Plant B,21,Mechanical Failure
20762,2024-02-04,Motor,Plant C,11,Electrical Fault
20763,2024-11-26,Motor,Plant A,6,Overheating
20764,2024-09-02,Motor,Plant B,8,Overheating
20765,2024-12-05,Compressor,Plant C,1,Short Circuit
20766,2024-11-04,Panel,Plant A,23,Mechanical Failure
20767,2024-02-27,Motor,Plant A,8,Short Circuit
20768,2024-11-01,Transformer,Plant C,5,Electrical Fault
20769,2024-05-20,Compressor,Plant A,10,Short Circuit
20770,2024-04-20,Panel,Plant B,2,Electrical Fault
20771,2024-06-11,Transformer,Plant A,4,Mechanical Failure
20772,2024-04-20,Transformer,Plant B,22,Mechanical Failure
20773,2024-05-31,Compressor,Plant B,2,Short Circuit
20774,2024-03-05,Generator,Plant B,15,Short Circuit
20775,2024-04-15,Panel,Plant C,20,Short Circuit
20776,2024-08-03,Compressor,Plant A,10,Electrical Fault
20777,2024-03-31,Generator,Plant C,21,Overheating
20778,2024-01-26,Compressor,Plant C,2,Overheating
20779,2024-06-05,Compressor,Plant B,6,Short Circuit
20780,2024-03-12,Transformer,Plant C,22,Short Circuit
20781,2024-02-13,Compressor,Plant A,14,Mechanical Failure
20782,2024-03-30,Generator,Plant C,5,Short Circuit
20783,2024-05-12,Transformer,Plant C,2,Mechanical Failure
20784,2024-06-09,Generator,Plant B,14,Electrical Fault
20785,2024-08-19,Generator,Plant B,13,Electrical Fault
20786,2024-09-17,Transformer,Plant C,2,Electrical Fault
20787,2024-04-20,Generator,Plant B,23,Electrical Fault
20788,2024-06-12,Motor,Plant C,9,Short Circuit
20789,2024-03-17,Compressor,Plant A,3,Short Circuit
20790,2024-07-27,Transformer,Plant A,15,Mechanical Failure
20791,2024-01-13,Transformer,Plant B,23,Short Circuit
20792,2024-02-27,Motor,Plant A,3,Mechanical Failure
20793,2024-12-09,Motor,Plant A,12,Electrical Fault
20794,2024-02-05,Motor,Plant C,6,Mechanical Failure
20795,2024-01-25,Motor,Plant B,19,Mechanical Failure
20796,2024-02-03,Panel,Plant A,17,Short Circuit
20797,2024-05-19,Transformer,Plant B,6,Electrical Fault
20798,2024-10-01,Generator,Plant B,19,Overheating
20799,2024-12-27,Transformer,Plant B,17,Short Circuit
20800,2024-08-09,Transformer,Plant A,16,Short Circuit
20801,2024-02-06,Transformer,Plant B,21,Overheating
20802,2024-12-28,Motor,Plant B,8,Electrical Fault
20803,2024-05-08,Motor,Plant C,19,Overheating
20804,2024-11-11,Panel,Plant C,8,Mechanical Failure
20805,2024-11-18,Transformer,Plant C,20,Overheating
20806,2024-08-05,Compressor,Plant C,15,Electrical Fault
20807,2024-11-30,Panel,Plant B,8,Electrical Fault
20808,2024-09-04,Motor,Plant C,3,Overheating
20809,2024-04-20,Transformer,Plant C,16,Short Circuit
20810,2024-10-30,Motor,Plant A,3,Overheating
20811,2024-08-07,Generator,Plant C,1,Mechanical Failure
20812,2024-07-14,Motor,Plant C,8,Overheating
20813,2024-05-26,Motor,Plant A,9,Overheating
20814,2024-12-09,Panel,Plant B,22,Overheating
20815,2024-02-09,Generator,Plant B,12,Mechanical Failure
20816,2024-05-13,Compressor,Plant A,18,Overheating
20817,2024-12-17,Compressor,Plant A,17,Short Circuit
20818,2024-07-09,Compressor,Plant B,8,Mechanical Failure
20819,2024-06-11,Transformer,Plant C,20,Short Circuit
20820,2024-03-01,Compressor,Plant A,11,Mechanical Failure
20821,2024-01-05,Transformer,Plant A,7,Electrical Fault
20822,2024-02-06,Motor,Plant A,14,Electrical Fault
20823,2024-08-04,Compressor,Plant B,10,Mechanical Failure
20824,2024-08-12,Panel,Plant B,15,Mechanical Failure
20825,2024-08-03,Generator,Plant B,12,Mechanical Failure
20826,2024-05-18,Generator,Plant B,20,Electrical Fault
20827,2024-04-15,Motor,Plant B,17,Mechanical Failure
20828,2024-04-08,Generator,Plant C,8,Electrical Fault
20829,2024-06-16,Generator,Plant C,14,Electrical Fault
20830,2024-09-20,Motor,Plant B,15,Mechanical Failure
20831,2024-03-27,Motor,Plant B,11,Mechanical Failure
20832,2024-03-24,Motor,Plant B,12,Mechanical Failure
20833,2024-08-11,Panel,Plant A,20,Electrical Fault
20834,2024-01-11,Motor,Plant A,16,Overheating
20835,2024-11-22,Motor,Plant B,20,Mechanical Failure
20836,2024-07-04,Motor,Plant B,18,Overheating
20837,2024-12-15,Compressor,Plant A,10,Overheating
20838,2024-08-18,Compressor,Plant A,19,Overheating
20839,2024-05-20,Panel,Plant A,18,Short Circuit
20840,2024-04-15,Panel,Plant A,1,Overheating
20841,2024-09-09,Generator,Plant A,22,Overheating
20842,2024-02-18,Compressor,Plant B,4,Electrical Fault
20843,2024-09-19,Panel,Plant B,23,Short Circuit
20844,2024-07-23,Panel,Plant A,7,Electrical Fault
20845,2024-12-22,Generator,Plant B,1,Electrical Fault
20846,2024-02-20,Motor,Plant A,8,Overheating
20847,2024-06-23,Transformer,Plant A,17,Electrical Fault
20848,2024-08-12,Generator,Plant A,8,Mechanical Failure
20849,2024-09-17,Transformer,Plant B,5,Overheating
20850,2024-08-09,Generator,Plant B,1,Mechanical Failure
20851,2024-08-10,Generator,Plant B,15,Overheating
20852,2024-09-25,Motor,Plant B,4,Overheating
20853,2024-10-24,Panel,Plant C,7,Overheating
20854,2024-11-13,Compressor,Plant A,14,Short Circuit
20855,2024-03-14,Generator,Plant A,12,Overheating
20856,2024-04-23,Motor,Plant B,21,Mechanical Failure
20857,2024-08-06,Transformer,Plant B,3,Overheating
20858,2024-02-23,Panel,Plant C,20,Overheating
20859,2024-07-18,Generator,Plant A,18,Electrical Fault
20860,2024-05-10,Transformer,Plant A,8,Overheating
20861,2024-12-04,Generator,Plant B,2,Overheating
20862,2024-07-10,Compressor,Plant B,6,Overheating
20863,2024-06-27,Compressor,Plant C,7,Overheating
20864,2024-10-31,Panel,Plant A,7,Overheating
20865,2024-10-13,Transformer,Plant C,13,Overheating
20866,2024-08-27,Compressor,Plant A,1,Short Circuit
20867,2024-09-01,Motor,Plant B,8,Mechanical Failure
20868,2024-11-25,Panel,Plant C,23,Short Circuit
20869,2024-04-26,Generator,Plant B,13,Mechanical Failure
20870,2024-07-26,Transformer,Plant A,20,Short Circuit
20871,2024-07-30,Transformer,Plant A,19,Overheating
20872,2024-09-15,Motor,Plant C,17,Short Circuit
20873,2024-06-11,Compressor,Plant B,13,Mechanical Failure
20874,2024-08-13,Transformer,Plant A,16,Electrical Fault
20875,2024-12-06,Motor,Plant A,15,Electrical Fault
20876,2024-03-04,Motor,Plant C,11,Overheating
20877,2024-09-02,Generator,Plant C,12,Overheating
20878,2024-01-18,Motor,Plant B,22,Mechanical Failure
20879,2024-02-03,Panel,Plant C,3,Electrical Fault
20880,2024-11-07,Transformer,Plant A,9,Overheating
20881,2024-11-18,Panel,Plant B,14,Short Circuit
20882,2024-06-29,Motor,Plant B,7,Short Circuit
20883,2024-12-12,Motor,Plant B,11,Electrical Fault
20884,2024-07-12,Panel,Plant A,10,Mechanical Failure
20885,2024-07-10,Generator,Plant C,3,Overheating
20886,2024-03-07,Motor,Plant B,19,Overheating
20887,2024-07-27,Panel,Plant A,2,Overheating
20888,2024-12-31,Panel,Plant C,17,Electrical Fault
20889,2024-06-15,Transformer,Plant B,2,Short Circuit
20890,2024-09-02,Generator,Plant C,21,Mechanical Failure
20891,2024-09-01,Compressor,Plant C,16,Electrical Fault
20892,2024-06-14,Panel,Plant C,17,Electrical Fault
20893,2024-10-22,Transformer,Plant A,10,Overheating
20894,2024-07-29,Compressor,Plant B,4,Short Circuit
20895,2024-05-12,Transformer,Plant B,11,Mechanical Failure
20896,2024-07-15,Transformer,Plant B,17,Mechanical Failure
20897,2024-12-12,Generator,Plant A,12,Overheating
20898,2024-02-18,Motor,Plant C,21,Mechanical Failure
20899,2024-03-04,Generator,Plant A,10,Short Circuit
20900,2024-04-21,Compressor,Plant B,16,Overheating
20901,2024-12-21,Generator,Plant C,4,Overheating
20902,2024-07-03,Motor,Plant A,3,Short Circuit
20903,2024-04-13,Generator,Plant A,9,Mechanical Failure
20904,2024-07-31,Generator,Plant A,6,Short Circuit
20905,2024-01-05,Generator,Plant A,12,Mechanical Failure
20906,2024-04-28,Panel,Plant C,1,Mechanical Failure
20907,2024-12-09,Panel,Plant A,14,Mechanical Failure
20908,2024-09-05,Generator,Plant C,10,Short Circuit
20909,2024-06-15,Motor,Plant A,18,Short Circuit
20910,2024-08-29,Motor,Plant B,13,Electrical Fault
20911,2024-10-06,Motor,Plant A,9,Short Circuit
20912,2024-12-28,Motor,Plant A,23,Overheating
20913,2024-08-25,Transformer,Plant B,19,Overheating
20914,2024-11-01,Generator,Plant C,4,Overheating
20915,2024-07-23,Generator,Plant A,3,Overheating
20916,2024-11-09,Transformer,Plant A,6,Electrical Fault
20917,2024-01-01,Motor,Plant B,9,Short Circuit
20918,2024-06-19,Compressor,Plant C,10,Short Circuit
20919,2024-06-15,Compressor,Plant B,9,Mechanical Failure
20920,2024-09-14,Transformer,Plant A,17,Short Circuit
20921,2024-03-03,Compressor,Plant C,10,Mechanical Failure
20922,2024-09-28,Panel,Plant A,6,Mechanical Failure
20923,2024-02-06,Generator,Plant B,16,Overheating
20924,2024-01-16,Compressor,Plant A,17,Electrical Fault
20925,2024-09-10,Panel,Plant B,11,Electrical Fault
20926,2024-12-08,Generator,Plant B,20,Short Circuit
20927,2024-12-11,Panel,Plant C,7,Mechanical Failure
20928,2024-12-01,Generator,Plant B,4,Overheating
20929,2024-01-27,Generator,Plant C,10,Mechanical Failure
20930,2024-04-20,Compressor,Plant C,21,Overheating
20931,2024-08-20,Transformer,Plant C,14,Mechanical Failure
20932,2024-03-04,Compressor,Plant C,17,Short Circuit
20933,2024-04-06,Motor,Plant C,14,Short Circuit
20934,2024-09-23,Panel,Plant B,20,Mechanical Failure
20935,2024-11-21,Motor,Plant B,23,Electrical Fault
20936,2024-08-19,Generator,Plant C,13,Overheating
20937,2024-02-17,Compressor,Plant B,2,Electrical Fault
20938,2024-12-15,Motor,Plant C,9,Electrical Fault
20939,2024-07-28,Motor,Plant B,3,Mechanical Failure
20940,2024-03-16,Motor,Plant C,4,Overheating
20941,2024-09-03,Generator,Plant A,12,Overheating
20942,2024-11-11,Generator,Plant A,15,Short Circuit
20943,2024-03-08,Generator,Plant C,20,Mechanical Failure
20944,2024-11-08,Motor,Plant B,8,Mechanical Failure
20945,2024-03-04,Panel,Plant C,18,Mechanical Failure
20946,2024-06-30,Compressor,Plant B,5,Short Circuit
20947,2024-03-20,Compressor,Plant C,2,Short Circuit
20948,2024-12-08,Generator,Plant C,22,Overheating
20949,2024-07-21,Motor,Plant B,9,Short Circuit
20950,2024-06-30,Panel,Plant B,14,Mechanical Failure
20951,2024-08-01,Transformer,Plant C,1,Mechanical Failure
20952,2024-04-29,Generator,Plant A,20,Electrical Fault
20953,2024-08-28,Transformer,Plant A,4,Short Circuit
20954,2024-11-30,Compressor,Plant A,17,Mechanical Failure
20955,2024-07-20,Compressor,Plant A,10,Mechanical Failure
20956,2024-10-18,Panel,Plant A,2,Overheating
20957,2024-02-23,Panel,Plant B,6,Short Circuit
20958,2024-05-24,Transformer,Plant A,19,Mechanical Failure
20959,2024-12-21,Compressor,Plant B,9,Overheating
20960,2024-03-26,Panel,Plant A,19,Electrical Fault
20961,2024-01-22,Panel,Plant B,19,Electrical Fault
20962,2024-11-26,Compressor,Plant A,9,Overheating
20963,2024-10-18,Compressor,Plant A,3,Short Circuit
20964,2024-08-23,Motor,Plant B,6,Mechanical Failure
20965,2024-01-29,Panel,Plant B,6,Short Circuit
20966,2024-07-01,Transformer,Plant C,17,Overheating
20967,2024-06-08,Generator,Plant A,13,Mechanical Failure
20968,2024-01-18,Generator,Plant A,13,Mechanical Failure
20969,2024-02-07,Compressor,Plant B,7,Mechanical Failure
20970,2024-04-10,Transformer,Plant B,9,Short Circuit
20971,2024-10-16,Motor,Plant A,18,Short Circuit
20972,2024-06-21,Panel,Plant A,1,Overheating
20973,2024-12-08,Motor,Plant B,22,Electrical Fault
